Municipio,Ente,Ouvidor,Telefone,Whatsapp,E-mail,Site,Endereço,Horario de funcionamento,Evidencia de Instrucao Normativa,Link da Instrucao Normativa
JARDIM,Câmara,,(88) 3555-1102,,contato@camarajardim.ce.gov.br,https://www.camarajardim.ce.gov.br/,Câmara Municipal de Jardim,,Sim,https://www.jardim.ce.gov.br/arquivos/1409/DECRETO_15040232025_2025_0000001.pdf
JATI,Câmara,,(88) 3575-1208,,,https://camarajati.ce.gov.br/,,,Não,
JIJOCA DE JERICOACOARA,Câmara,Karlla Eduarda Carvalho Fonteles,(88) 3669-1142,,camarajijoca@hotmail.com,https://www.cmjijocadejericoacoara.ce.gov.br/,"Av. Jericoacoara, Nº 474 - Centro - CEP: 62.598-000 - Jijoca de Jericoacoara/CE",,Não,
JUAZEIRO DO NORTE,Câmara,,(88) 2141-9423,,,https://camarajuazeiro.ce.gov.br/,,,Sim,https://www.juazeirodonorte.ce.gov.br/leis.php?id=4012
JUCÁS,Câmara,Ligiane Lucas Moura,(88) 3517-1221,,ouvidoria@camarajucas.ce.gov.br,https://camarajucas.ce.gov.br/,,8h-17h,Não,
LAVRAS DA MANGABEIRA,Câmara,Bruno Jonatas de Araújo Campos Ferreira Pinto,(88) 92148-8412,,contato@camaralavras.ce.gov.br,https://www.camaralavras.ce.gov.br/,"Rua Cel Raimundo Augusto,75 - Centro - Lavras da Mangabeira|CE",,Sim,https://www.lavrasdamangabeira.ce.gov.br/arquivos/110/LEIS%20MUNICIPAIS_466_2017_0000001.pdf
LIMOEIRO DO NORTE,Câmara,Italo Roger Santiago de Matos,(88) 3423-3788,,ouvidoriacmln@outlook.com,https://camaralimoeirodonorte.ce.gov.br/,"Sede da Câmara - Rua: Cel. Malveira , 2266 - Centro - CEP : 62930-000 - Limoeiro do Norte\CE",,Sim,https://www.camaralimoeirodonorte.ce.gov.br/arquivos/133/Leis_1974_2016.pdf
MADALENA,Câmara,Debora Rodrigues de Oliveira Cunha,(88) 99235-2290,,ouvidoriamadalena@gmail.com,https://www.camaramadalena.ce.gov.br/,"Av. Antonio Severo de Pinho, nº 400b - Centro CEP:63.860-000 – Madalena-CE",,Sim,https://www.madalena.ce.gov.br/arquivos/603/DECRETO_048_2021_0000001.pdf
MARACANAÚ,Câmara,Francisca Francineires Paulo,(85) 3381-1242,,ouvidoria_camara@maracanau.ce.gov.br,https://www.camaramaracanau.ce.gov.br/,Câmara Municipal de Maracanaú,8h-14h,Sim,https://sapl.maracanau.ce.leg.br/media/sapl/public/normajuridica/2007/1582/1208.pdf
MARANGUAPE,Câmara,,(85) 3341-0030,,,https://camaramaranguape.ce.gov.br/,,,Não,
MARCO,Câmara,Maria Zilda Teofila Neta,(88) 3664-1951,,esic@camaramunicipaldemarco.ce.gov.br,https://www.camaramunicipaldemarco.ce.gov.br/,"Rios, S/N, Centro, CEP: 62.560-000",,Sim,https://marco.ce.gov.br/arquivos/80/_218_2017.pdf
MARTINÓPOLE,Câmara,,8836271353,,,https://www.camaramartinopole.ce.gov.br/,,,Sim,https://www.martinopole.ce.gov.br/arquivos/577/DECRETO_113_2022_0000001.pdf
MASSAPÊ,Câmara,,,,,https://camaramassape.ce.gov.br/,,,Não,
MAURITI,Câmara,João Nielder Severo de Souza,(88) 3552-1480,,ouvidoria@camarademauriti.ce.gov.br,https://www.camarademauriti.ce.gov.br/,"Rua Tabelião Chagas Sampaio, 517 - Centro - Mauriti/CE",8h-12h,Sim,https://www.mauriti.ce.gov.br/arquivos/3023/DECRETO_24_2025_0000001.pdf
MERUOCA,Câmara,,(88) 3649 - 1219,,,https://camarameruoca.ce.gov.br/,,,Não,
MILAGRES,Câmara,,(88) 3553-1381,,camaramilagres@hotmail.com (diz que tá com a caixa de entrada cheia),https://camaramilagres.ce.gov.br/,Câmara Municipal De Milagres,,Não,
MILHÃ,Câmara,,(88) 99964-3022,,,https://camaramilha.ce.gov.br/,,,Sim,https://milha.ce.gov.br/arquivos/1139/LEIS%20MUNICIPAIS_049_2005_0000001.pdf
MIRAÍMA,Câmara,MONIQUE MERCIA GOMES CHAGAS,(88)36301101,,camarademiraima@gmail.com,https://www.cmmiraima.ce.gov.br/,Câmara Municipal De Miraíma,,Sim,https://miraima.ce.gov.br/arquivos/441/LEIS_138_1997_0000001.pdf e https://miraima.ce.gov.br/arquivos/167/LEIS_558_2016_0000001.pdf 
MISSÃO VELHA,Câmara,FRANCISCA VERONICA GOMES MONTEIRO,(88) 99714-2856,,camaramissaovelha@camaramissaovelha.ce.gov.br,https://www.camaramissaovelha.ce.gov.br/,Câmara Municipal de Missão Velha,,Não,
MOMBAÇA,Câmara,RAFAEL MARQUES BRAGA,(88) 3583-1504,,ouvidoria@camaramombaca.ce.gov.br,https://camaramombaca.ce.gov.br/,,,Sim,https://www.mombaca.ce.gov.br/arquivos/19/LEIS%20ORDINARIAS_874_2016_0000001.pdf
MONSENHOR TABOSA,Câmara,,(88) 3696-1204,,ouvidoria@cmmonsenhortabosa.ce.gov.br,https://www.cmmonsenhortabosa.ce.gov.br/,Câmara Municipal De Monsenhor Tabosa,,Não,
MORADA NOVA,Câmara,RAIMUNDA VANESSA GOMES DE FREITAS,88 3422 4925,,ouvidoriacmmn@hotmail.com,https://www.cmmoradanova.ce.gov.br/,Câmara Municipal De Morada Nova,,Não,
MORAÚJO,Câmara,,(88) 3642-1202,,,https://www.cmmoraujo.ce.gov.br/,,,Não,
MORRINHOS,Câmara,RORAJLA RIBEIRO DUTRA DOS SANTOS,8836651148,,camaramorrinhos@hotmail.com,https://camaramorrinhos.ce.gov.br/,"Rua: José Ibiapina Rocha, S/N - Centro - CEP: 62.550-000 – Morrinhos/CE",,Sim,https://morrinhos.ce.gov.br/leis.php?id=917
MUCAMBO,Câmara,,,,,https://www.camaramucambo.ce.gov.br/,,,Não,
MULUNGU,Câmara,,8533281575,,camara.mulungu@yahoo.com.br,https://camaramulungu.ce.gov.br/,"PÇ: Coletor Bezerra Borges, S/N - Centro - Cep: 62764-000 – Mulungu/CE",,Sim,https://www.mulungu.ce.gov.br/leis.php?id=264
NOVA OLINDA,Câmara,,(88) 3546.1537,,,https://www.camaranovaolinda.ce.gov.br/,,,Não,
NOVA RUSSAS,Câmara,,(88) 3672-6371,,,https://cmnovarussas.ce.gov.br/,,,Não,
NOVO ORIENTE,Câmara,DHIEILA MARIA SOUSA SAMPAIO,(88) 3629-1122,,gpr.cm.novooriente@hotmail.com,https://camaranovooriente.ce.gov.br/,"Travessa Francisco Freitas, 1 - Centro - Novo Oriente/CE",,Não,
OCARA,Câmara,,(85) 3322-1003,,cmo.ocara@gmail.com,https://cmocara.ce.gov.br/,Av. Coronel João Felipe - Centro - Ocara/CE,8h-15h,Não,
ORÓS,Câmara,MARILIA SOARES SOUSA,,,ouvidoria@camaraoros.ce.gov.br,https://camaraoros.ce.gov.br/,,,Sim,https://oros.ce.gov.br/arquivos/785/LEIS%20MUNICIPAIS_017_1999_0000001.pdf
PACAJUS,Câmara,VINICIUS ALVES DA SILVA,(85) 3348-0205,,ouvidoria@camarapacajus.ce.gov.br,https://camarapacajus.ce.gov.br/,"Raimundo Costa, Nº 553 - Centro - Pacajus/CE",7h30-13h30,Sim,https://www.pacajus.ce.gov.br/arquivos/405/LEIS%20MUNICIPAIS_407_2015_0000001.pdf
PACATUBA,Câmara,ANTONIA ADRIANY RODRIGUES DA COSTA,8533451284,,ouvidoria@cmpacatuba.ce.gov.br,https://www.cmpacatuba.ce.gov.br/,"Major Crisanto de Almeida, Nº 195 - Centro - Pacatuba/CE",,Não,
PACOTI,Câmara,,(85) 3325-1210,,,https://cmpacoti.ce.gov.br/,,,Não,
PACUJÁ,Câmara,,(88) 3641 - 1113,,,https://www.camarapacuja.ce.gov.br/,,,Sim,https://www.pacuja.ce.gov.br/arquivos/236/LEIS_553_2019_0000001.pdf
PALHANO,Câmara,,(88) 3415-1010,,,https://www.camarapalhano.ce.gov.br/,,,Não,
PALMÁCIA,Câmara,,(85) 3339-1776,,,https://cmpalmacia.ce.gov.br/,,,Não,
PARACURU,Câmara,MARCIA DA SILVA PEREIRA,(85)992651124,,ouvidoria@camaradeparacuru.ce.gov.br,https://camaradeparacuru.ce.gov.br/,"Rua: São João Evangelista, Nº 459 - CEP: 62.680-000 - Bairro Paracuru Beach/CE",,Não,
PARAIPABA,Câmara,MARIA RUTH CORDEIRO CHAVES RODRIGUES,,,ouvidoria@camaraparaipaba.ce.gov.br,https://www.camaraparaipaba.ce.gov.br/,"Av. Flavio Granjeiro, 27 A - Centro Paraipaba-CE | CEP: 62685-000",,Sim,https://www.paraipaba.ce.gov.br/leis.php?id=1726
PARAMBU,Câmara,,(88)3448-1191,,,https://www.camaraparambu.ce.gov.br/CAMARAPARAMBU/faces/jsp/inicio.jsp,,,Não,
PARAMOTI,Câmara,MARIA CYDALIA BARBOSA GAMA,(85) 992626315,,ouvidoria@paramoti.ce.gov.br,https://www.paramoti.ce.gov.br/secretaria.php?sec=37,"Rua: Santa Ana, Nº 64 - Centro - CEP: 62.736-000 – Paramoti/CE",,Não,
PEDRA BRANCA,Câmara,,(88)3515.1244,,,https://www.camarapedrabranca.ce.gov.br/,,,Sim,https://pedrabranca.ce.gov.br/arquivos/1072/LEIS%20MUNICIPAIS_781_2022_0000001.pdf
PENAFORTE,Câmara,,(88) 3559-1239,,,https://camarapenaforte.ce.gov.br/,,,Não,
PENTECOSTE,Câmara,FRANCISCO JONAS PINTO SILVEIRA,(85) 991108580,,ouvidoria@cmpentecoste.ce.gov.br,https://cmpentecoste.ce.gov.br/,"RUA DR. MOREIRA, 352 - CENTRO - CEP: 62.640-000 – PENTECOSTE/CE",,Não,
PEREIRO,Câmara,,,,,https://camarapereiro.ce.gov.br/,,,Não,
PINDORETAMA,Câmara,JESSICA HOLANDA PEREIRA,8533751555,,ouvidoria@pindoretama.ce.leg.br,https://pindoretama.ce.leg.br/,Câmara Municipal De Pindoretama,,Sim,https://pindoretama.ce.gov.br/arquivos/1185/DECRETO_424_2025_0000001.pdf
PIQUET CARNEIRO,Câmara,DANIELE MACHADO DE LIMA,(88) 3516-1699,,secretaria@camarapiquetcarneiro.ce.gov.br,https://www.camarapiquetcarneiro.ce.gov.br/,,,Sim,https://www.piquetcarneiro.ce.gov.br/arquivos/178/LEIS_276_2016_0000001.pdf
PIRES FERREIRA,Câmara,Ludmila Alves do Nascimento,88 996043214,,ouvidoriacmpiresferreira@gmail.com,https://cmpiresferreira.ce.gov.br/site,,De 08:00 as 17:00,Não,
PORANGA,Câmara,,(88)36581228,,camara.poranga2015@gmail.com,https://www.poranga.ce.leg.br/ouvidoria,Câmara Municipal de Poranga,8h-14h,Não,
PORTEIRAS,Câmara,,,,,https://camaraporteiras.ce.gov.br/,,,Não,
POTENGI,Câmara,,(88) 3538-1288,,ouvidoria@camarapotengi.ce.gov.br,https://camarapotengi.ce.gov.br/,"Rua Francisco Guedes, 176 - Centro - CEP 63.160-000 – Potengi-CE",,Não,
POTIRETAMA,Câmara,MARIA DO DESTERRO PORTO BESSA MELO,88996615597,,camaramunicipalpotiretama@hotmail.com,https://www.camarapotiretama.ce.gov.br/,"Rua: Edilson Vieira, Nº 554 - Centro - CEP: 62.990-000 – Potiretama-CE",,Não,
QUITERIANOPÓLIS,Câmara,,(88) 3657-1006,,,https://camaraquiterianopolis.ce.gov.br/,,,Não,
QUIXADÁ,Câmara,,(88) 3412-0442,,,https://www.camaraquixada.ce.gov.br/,,,Não,
QUIXELÔ,Câmara,,(88)3579-1212,,,https://www.camaraquixelo.ce.gov.br/,,,Sim,www.quixelo.ce.gov.br
QUIXERAMOBIM,Câmara,Antonia Salete Costa de Lima,(88) 3441-0043,,cmq@cmquixeramobim.ce.gov.br,https://www.cmquixeramobim.ce.gov.br/,"Rua Cônego Pinto de Mendonça, n.º 60",,Não,
QUIXERÉ,Câmara,Ana Carolina da Cunha Sousa,(85) 4042-7430,,ouvidoria@camaraquixere.ce.gov.br,https://camaraquixere.ce.gov.br/,"RUA JOSE GONÇALVES LIMA, Nº 1190, CENTRO",,Não,
REDENÇÃO,Câmara,Adriana Brito de Lima,(85) 3332-1310,,ouvidoria.cmr@hotmail.com,https://camararedencao.ce.gov.br/,"Avenida da Abolição, s/n, próximo ao CRAS - Centro - Redenção/CE",7h-12h,Não,
RERIUTABA,Câmara,,(88) 98214-5757,,,https://camarareriutaba.ce.gov.br/,,,Não,
RUSSAS,Câmara,Francisca Tatiana da Silva,,,tatianasilva33m@gmail.com,https://camararussas.ce.gov.br/,,,Sim,https://russas.ce.gov.br/leis.php?id=1826
SABOEIRO,Câmara,,883526000,,camarasaboeiro1920@gmail.com,https://www.camarasaboeiro.ce.gov.br/,,,Não,
SALITRE,Câmara,,(88) 3537-1030,,,https://www.camarasalitre.ce.gov.br/,,,Não,
SANTA QUITÉRIA,Câmara,,(88) 3628-0801,,,https://camarasantaquiteria.ce.gov.br/,,,Não,
SANTANA DO ACARAÚ,Câmara,,(85) 3345-1526,,,https://www.cmsantanadoacarau.ce.gov.br/,,,Sim,https://www.santanadoacarau.ce.gov.br/arquivos/224/LEIS%20MUNICIPAIS_696_2010_0000001.pdf
SANTANA DO CARIRI,Câmara,,(88) 3545-1211,,,https://camarasantanadocariri.ce.gov.br/,,,Sim,https://santanadocariri.ce.gov.br/arquivos/1206/LEI%20ORDINARIA_502_2005_0000001.pdf
SÃO BENEDITO,Câmara,João Ferreira Freire,(88) 3626-1238,,cmsb1718@gmail.com,https://www.cmsaobenedito.ce.gov.br/,Câmara Municipal de São Benedito,,Não,
SÃO GONÇALO DO AMARANTE,Câmara,,(85) 3361-0171,,ouvidoria@cmaquiraz.ce.gov.br,https://cmsga.ce.gov.br/,Câmara Municipal de Aquiraz,,Sim,https://saogoncalodoamarante.ce.gov.br/arquivos/1070/1364.pdf
SÃO JOÃO DO JAGUARIBE,Câmara,,(88) 3420-1527,,cmunicipalsjj@yahoo.com.br,https://cmsaojoaodojaguaribe.ce.gov.br/,"Praça: Celso Chaves, S/N - Centro - CEP: 62.965-000 - São João do Jaguaribe\CE",,Não,
SÃO LUIZ DO CURU,Câmara,,(85) 3355-1222,,,https://www.camarasaoluisdocuru.ce.gov.br/,,,Não,
SENADOR POMPEU,Câmara,IVONEIDE COUTINHO DE LIMA,(88) 3449-1235,,cmsp@camarasenadorpompeu.ce.gov.br,https://www.camarasenadorpompeu.ce.gov.br/,"RUA PROFESSOR CAVALCANTE, Nº 635 FÁTIMA",,Não,
SENADOR SÁ,Câmara,,,,,https://cmsenadorsa.ce.gov.br/home/,,,Não,
SOBRAL,Câmara,,(88) 3677-7626,,(88) 3212-0470,https://www.camarasobral.ce.gov.br/,"Rua Conselheiro Rodrigues Júnior, S/N (térreo) - Centro – Sobral-CE",,Sim,https://www.sobral.ce.gov.br/diario/public/files/diario/8abcb80e5b6a85d40a9345b7ae7b5a1e.pdf
SOLONÓPOLE,Câmara,MARIA GORETE PINHEIRO MAIA LIMA,(88)3518-1671,,ouvidoria@camarasolonopole.ce.gov.br,https://camarasolonopole.ce.gov.br/,"RUA DR. QUEIROZ LIMA, S/N- CENTRO",,Não,
TABULEIRO DO NORTE,Câmara,FRANCISCO NEUDO SOARES,88997234086,,ouvidoria@cmtabuleiro.ce.gov.br,https://cmtabuleiro.ce.gov.br/,"RUA MAIA ALARCON, 371 - CENTRO - CEP: 62960-000 - TABULEIRO DO NORTE\CE",,Sim,https://www.tabuleirodonorte.ce.gov.br/arquivos/891/LEIS%20MUNICIPAIS_1234_2013_0000001.pdf
TAMBORIL,Câmara,Maria Tainá Gomes Veras,(88) 3617-1176,,ouvidoriatamborilcm@gmail.com,https://www.camaratamboril.ce.gov.br/,"R. Jesuíta Adeodato, 210 - Pedrinhas, TAMBORIL - CE, 63750000",,Não,
TARRAFAS,Câmara,,(88) 3549-1034,,ouvidoria@camaratarrafas.ce.gov.br,https://camaratarrafas.ce.gov.br/,"Avenida Maria Luiza Leite, S/N - Bulandeira - CEP 63.145-000 – Tarrafas-CE",,Sim,https://files1.ciebit.com/tarrafas/de54aeb14926db683a8c1839fbc80b83.pdf
TAUÁ,Câmara,WELLINGTON RODRIGUES MEDEIROS,8834372599,,ouvidoria@camarataua.ce.gov.br,https://www.camarataua.ce.gov.br/,"Rua: Silvestre Goncalves, Nº 80 - Centro - CEP: 63660-000 - Tauá/CE",,Sim,https://www.taua.ce.gov.br/arquivos/420/LEIS%20MUNICIPAIS_2595_2021_0000001.pdf
TEJUÇUOCA,Câmara,,(85) 3323-1136,,,https://cmtejucuoca.ce.gov.br/,,,Não,
TIANGUÁ,Câmara,ÍTALO DE VASCONCELOS QUEIROZ,(88) 98829-2290,,ouvidoria@camaratiangua.ce.gov.br,https://www.camaratiangua.ce.gov.br/,,,Sim,https://www.tiangua.ce.gov.br/leis.php?id=1815
TRAIRI,Câmara,CÂMARA,,,,,,,Sim,https://trairi.ce.gov.br/leis.php?dtini=&dtfim=&cat=31&Exer=2021&Num=&Descr=&grupo=
TURURU,Câmara,LARYSSE MENESES DE SOUSA,88 34545588,,,https://www.camaratururu.ce.gov.br/,Câmara Municipal De Tururu(Rua neném Barroso-N 18),,Não,
UBAJARA,Câmara,,(88) 3634-1246,,,https://www.cmubajara.ce.gov.br/,,,Não,
UMARI,Câmara,JOSÉ DIOGO FERNANDES ALVES,(88) 98823-8385,,ouvidoria@camaraumari.ce.gov.br,https://www.camaraumari.ce.gov.br/,Câmara Municipal De Umari,,Não,
UMIRIM,Câmara,GEANE CARLA LOPES MATIAS,,,cmumirim2024@gmail.com,https://cmumirim.ce.gov.br/,,,Não,
URUBURETAMA,Câmara,,,,,https://www.camarauruburetama.ce.gov.br/,,,Não,
URUOCA,Câmara,,8836481099,,cmuruoca@gmail.com,https://www.camarauruoca.ce.gov.br/,"Rua: João Rodrigues, 139 - Centro - CEP: 62.460-000 - Uruoca\CE",,Sim,https://www.uruoca.ce.gov.br/leis.php?id=1475
VARJOTA,Câmara,JHENIFER MESQUITA DANTAS,,,ouvidoria@camaravarjota.ce.gov.br,https://www.camaravarjota.ce.gov.br/,,,Não,
VARZEA ALEGRE,Câmara,HUGO ALVES DA COSTA,(88) 3541-2769,,camara@hotmail.com,https://www.camaravarzeaalegre.ce.gov.br/,Câmara Municipal - Várzea Alegre/CE,8h-14h,Não,
VIÇOSA DO CEARÁ,Câmara,João Augusto Freire Alves Beviláqua,(88) 3632-1422,(88) 9 9316-5242,ouvidoriacmvc2025@gmail.com,https://camaravicosadoceara.ce.gov.br/,"Av. Major Felizardo de Pinho Pessoa, Nº 90 - Centro - CEP: 62.300-000 - Viçosa do Ceará/CE","Das 7:30 às 12:00, e das 13:30 até às 17:00",Não,
